"Name","Site","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","climstanm","upedonid","pedlabsampnum"
"Bear Mountain",323,"Idaho","SNOTEL","Bonner",5400,48.30577,-116.07448,"170102131202",NA,NA,NA
"Bear River",1061,"Colorado","SNOTEL","Routt",9080,40.06153,-107.00955,"140500010102",NA,NA,NA
"Bear River RS",992,"Utah","SNOTEL","Summit",8777,40.8852,-110.8277,"160101010106","Bear River RS","S11UT043001","11N0382"
"Bear Saddle",324,"Idaho","SNOTEL","Washington",6180,44.60533,-116.98097,"170501241001",NA,NA,NA
"Bear Trap Meadow",325,"Wyoming","SNOTEL","Johnson",8200,43.88743,-107.06135,"100902010205",NA,NA,NA
"Beartooth Lake",326,"Wyoming","SNOTEL","Park",9360,44.94307,-109.56743,"100700060206",NA,NA,NA
"Beartown",327,"Colorado","SNOTEL","Mineral",11600,37.71409,-107.51212,"130100010104",NA,NA,NA
"Beasley Lake",2032,"Mississippi","SCAN","Sunflower",115,33.38333,-90.65,"080302071002","Beasley Lake","99MS133001","99P0647"
"Beaumont",2207,"Texas","SCAN","Jefferson",19,30.06845,-94.29283,"120402010100","Blue Creek","S07UT003-001","08N0135"
"Beaver Ck Village",1041,"Colorado","SNOTEL","Eagle",8500,39.59917,-106.51142,"140100030301",NA,NA,NA
"Beaver Creek",328,"Montana","SNOTEL","Gallatin",7850,44.94966,-111.35852,"100200070402",NA,NA,NA
"Beaver Dams",329,"Utah","SNOTEL","Sanpete",7990,39.13683,-111.55813,"160300040402",NA,NA,NA
"Beaver Divide",330,"Utah","SNOTEL","Summit",8280,40.61233,-111.09782,"160202030105",NA,NA,NA
"Beaver Head",902,"Arizona","SNOTEL","Greenlee",7990,33.69144,-109.21657,"150601010107",NA,NA,NA
"Beaver Pass",990,"Washington","SNOTEL","Whatcom",3630,48.8793,-121.2555,"171100050605",NA,NA,NA
"Beaver Reservoir",331,"Oregon","SNOTEL","Union",5150,45.14532,-118.219,"170601040301",NA,NA,NA
"Beaver Spring",1143,"Arizona","SNOTEL","Apache",9200,36.32678,-109.05711,"140802040401",NA,NA,NA
"Ben Lomond Peak",332,"Utah","SNOTEL","Weber",7689,41.37603,-111.94405,"160201020302",NA,NA,NA
"Ben Lomond Trail",333,"Utah","SNOTEL","Weber",5972,41.38291,-111.92103,"160201020302",NA,NA,NA
"Berry Creek",334,"Nevada","SNOTEL","White Pine",9377,39.31917,-114.62278,"160600081301",NA,NA,NA
"Berthoud Summit",335,"Colorado","SNOTEL","Grand",11300,39.80392,-105.77789,"140100010202",NA,NA,NA
"Bettles Field",1182,"Alaska","SNOTEL","Yukon-Koyukuk",640,66.91667,-151.53333,"190901012604",NA,NA,NA
"Bevans Cabin",1214,"Utah","SNOTEL","Tooele",6520,40.46182,-112.25233,"160203040401","Bevans Cabin","S2012UT045001","13N57561"
"Big Bend",336,"Nevada","SNOTEL","Elko",6898,41.76168,-115.6931,"170501040104",NA,NA,NA
"Big Creek Sum",337,"Nevada","SNOTEL","Lander",8685,39.29148,-117.11506,"160401070303","Big Creek Summit","S2013NV015001","14N0339"
"Big Creek Summit",338,"Idaho","SNOTEL","Valley",6560,44.62621,-115.79561,"170602080402",NA,NA,NA
"Big Flat",339,"Utah","SNOTEL","Beaver",10349,38.30183,-112.35672,"160300070202",NA,NA,NA
"Big Goose",931,"Wyoming","SNOTEL","Sheridan",7990,44.57924,-107.20068,"100901010103",NA,NA,NA
"Big Meadow",340,"Nevada","SNOTEL","Washoe",8235,39.455,-119.9422,"160501020505",NA,NA,NA
"Big Red Mountain",341,"Oregon","SNOTEL","Jackson",6050,42.05257,-122.85487,"171003090301",NA,NA,NA
"Big Sandy Opening",342,"Wyoming","SNOTEL","Sublette",9080,42.6458,-109.25965,"140401040101",NA,NA,NA
"Bigelow Camp",343,"Oregon","SNOTEL","Josephine",5130,42.07875,-123.34393,"171003090105",NA,NA,NA
"Billie Creek Divide",344,"Oregon","SNOTEL","Klamath",5280,42.40717,-122.26617,"180102030201",NA,NA,NA
"Bird Creek",1155,"Nevada","SNOTEL","White Pine",7537,39.46138,-114.64863,"160600081304","Bird Creek","S11NV033001","12N7849"
"Bison Lake",345,"Colorado","SNOTEL","Garfield",10880,39.76487,-107.35681,"140100011401",NA,NA,NA
"Bisson Creek",346,"Montana","SNOTEL","Lake",4920,47.68389,-113.99901,"170102120602",NA,NA,NA
"Black Bear",347,"Montana","SNOTEL","Gallatin",8170,44.50832,-111.12803,"100200070202",NA,NA,NA
"Black Flat-U.M. Ck",348,"Utah","SNOTEL","Sevier",9414,38.6799,-111.59765,"140700030101",NA,NA,NA
"Black Mesa",1185,"Colorado","SNOTEL","Dolores",11580,37.78972,-108.18365,"140300020103",NA,NA,NA
"Black Mountain",1161,"Colorado","SNOTEL","Larimer",8920,40.888,-105.66397,"101900070501",NA,NA,NA
"Black Pine",349,"Montana","SNOTEL","Granite",7210,46.414,-113.43095,"170102020203",NA,NA,NA
"Blackhall Mtn",1119,"Wyoming","SNOTEL","Carbon",9820,41.05616,-106.71384,"101800020504",NA,NA,NA
"Blacks Fork Jct",1162,"Utah","SNOTEL","Summit",8869,40.95814,-110.5828,"140401070303","Blacks Fork Jct","S11UT043002","11N0383"
"Blacktail Mtn",1144,"Montana","SNOTEL","Flathead",5650,47.98288,-114.3543,"170102080302",NA,NA,NA
"Blackwater",350,"Wyoming","SNOTEL","Park",9780,44.37667,-109.79333,"100800120209",NA,NA,NA
"Blazed Alder",351,"Oregon","SNOTEL","Clackamas",3650,45.4287,-121.85605,"170800010102",NA,NA,NA
"Blewett Pass",352,"Washington","SNOTEL","Chelan",4240,47.35037,-120.6796,"170200110501",NA,NA,NA
"Blind Bull Sum",353,"Wyoming","SNOTEL","Sublette",8650,42.964,-110.60973,"140401010402",NA,NA,NA
"Blind Park",354,"South Dakota","SNOTEL","Pennington",6890,44.10772,-103.97688,"101201100104",NA,NA,NA
"Bloody Dick",355,"Montana","SNOTEL","Beaverhead",7600,45.16507,-113.50099,"100200011002",NA,NA,NA
"Blue Creek",2135,"Utah","SCAN","Box Elder",5179,41.93531,-112.4336,"160203090802","Blue Creek","S07UT003-001","08N0135"
"Blue Lakes",356,"California","SNOTEL","Alpine",8067,38.608,-119.92437,"180400120101",NA,NA,NA
"Blue Mountain Spring",357,"Oregon","SNOTEL","Grant",5870,44.24767,-118.51722,"170501160104",NA,NA,NA
"Bobs Hollow",1278,"Utah","SNOTEL","Millard",9319,38.94569,-112.15349,"160300051401",NA,NA,NA
"Bodie Hills",2215,"California","SCAN","Mono",7825,38.26477,-119.12645,"160503010104",NA,NA,NA
"Bogus Basin",978,"Idaho","SNOTEL","Boise",6340,43.76377,-116.09685,"170501220201",NA,NA,NA
"Bone Springs Div",358,"Wyoming","SNOTEL","Sheridan",9350,44.67888,-107.5811,"100800100102",NA,NA,NA
"Bosque Seco",2067,"Puerto Rico","SCAN","Guanica",541,17.96667,-66.86667,"210100040109","Bosque Seco","D99PR055007","07N0374"
"Bostetter R.S.",359,"Idaho","SNOTEL","Cassia",7500,42.16442,-114.19272,"170402120201",NA,NA,NA
"Boulder Mountain",360,"Montana","SNOTEL","Meagher",7950,46.5596,-111.28973,"100301030501",NA,NA,NA
"Bourne",361,"Oregon","SNOTEL","Baker",5850,44.83052,-118.18787,"170502030101",NA,NA,NA
"Bowman Springs",362,"Oregon","SNOTEL","Umatilla",4530,45.36428,-118.46715,"170701030401",NA,NA,NA
"Box Canyon",363,"Montana","SNOTEL","Park",6670,45.2719,-110.24903,"100700020902",NA,NA,NA
"Box Creek",364,"Utah","SNOTEL","Sevier",9853,38.50809,-112.01856,"160300020106","Box Creek","S2012UT041001","13N57558"
"Box Springs",1156,"Utah","SNOTEL","Piute",9228,38.49746,-112.00779,"160300020107","Squaw Springs","S10UT031001","11N0379"
"Brackett Creek",365,"Montana","SNOTEL","Gallatin",7320,45.89107,-110.93851,"100700030403",NA,NA,NA
"Bragg Farm",2078,"Alabama","SCAN","Madison",798,34.89375,-86.60236,"060300020306","Bragg Farm","S2003AL089005","03N0926"
"Brian Head",1154,"Utah","SNOTEL","Iron",10039,37.67994,-112.85674,"160300060201","Brian Head","S2014UT021003","15N0474"
"Brighton",366,"Utah","SNOTEL","Salt Lake",8766,40.59936,-111.58167,"160202040201",NA,NA,NA
"Bristlecone Trail",1111,"Nevada","SNOTEL","Clark",8890,36.31575,-115.69543,"150100150206","Bristlecone Trail","S09NV003004","10N0512"
"Broad Acres",2177,"Alabama","SCAN","Montgomery",269,32.28393,-86.05253,"031501100803","Broad Acres","S10AL101001","10N1241"
"Brooklyn Lake",367,"Wyoming","SNOTEL","Albany",10240,41.35885,-106.23209,"101800100502",NA,NA,NA
"Brown Duck",368,"Utah","SNOTEL","Duchesne",10574,40.58102,-110.58587,"140600030604","Brown Duck","S2009UT013003","10N0501"
"Brown Top",1080,"Washington","SNOTEL","Whatcom",5830,48.92755,-121.19713,"171100050601",NA,NA,NA
"Brumley",369,"Colorado","SNOTEL","Lake",10600,39.08766,-106.5417,"110200010101",NA,NA,NA
"Brundage Reservoir",370,"Idaho","SNOTEL","Adams",6250,45.04315,-116.13253,"170602100104",NA,NA,NA
"Buck Flat",371,"Utah","SNOTEL","Sanpete",9409,39.134,-111.43722,"140600090302",NA,NA,NA
"Buck Pasture",1192,"Utah","SNOTEL","Summit",9632,40.84456,-110.66068,"140401070301","Buck Pasture","S2012UT043002","13N57560"
"Buckboard Flat",1153,"Utah","SNOTEL","San Juan",8924,37.86943,-109.44717,"140802030103","Buckboard Flat","S2012UT037002","13N57551"
"Buckhorn",2216,"Nevada","SCAN","Washoe",3925,40.87959,-119.9534,"180800020104",NA,NA,NA
"Buckinghorse",1107,"Washington","SNOTEL","Jefferson",4870,47.7086,-123.45747,"171100200501",NA,NA,NA
"Buckskin Joe",938,"Colorado","SNOTEL","Park",11150,39.3035,-106.11307,"101900010102",NA,NA,NA
"Buckskin Lower",373,"Nevada","SNOTEL","Humboldt",6930,41.75067,-117.53182,"160401090502",NA,NA,NA
"Buffalo Jump",2151,"Utah","SCAN","Rich",6682,41.34363,-111.18798,"160101010403","Buffalo Jump","S2009UT033001","09N1054"
"Buffalo Park",913,"Colorado","SNOTEL","Grand",9240,40.22861,-106.59528,"140100010706",NA,NA,NA
"Bug Lake",374,"Utah","SNOTEL","Rich",7987,41.68541,-111.41987,"160102010102",NA,NA,NA
"Bumping Ridge",375,"Washington","SNOTEL","Yakima",4610,46.81003,-121.33058,"170300020105",NA,NA,NA
"Bunchgrass Mdw",376,"Washington","SNOTEL","Pend Oreille",5000,48.68688,-117.17633,"170102160401",NA,NA,NA
"Burgess Junction",377,"Wyoming","SNOTEL","Sheridan",7880,44.78765,-107.52917,"100901010202",NA,NA,NA
"Burnside Lake",1051,"California","SNOTEL","Alpine",8129,38.71943,-119.8942,"160502010107","Burnside Lake","S2010CA003002","11N0375"
"Burnt Mountain",942,"Washington","SNOTEL","Pierce",4170,47.0444,-121.94032,"171100140103",NA,NA,NA
"Burnt Mtn",981,"Montana","SNOTEL","Carbon",5880,45.2401,-109.45961,"100700060802",NA,NA,NA
"Burro Mountain",378,"Colorado","SNOTEL","Rio Blanco",9400,39.87505,-107.59853,"140500050302",NA,NA,NA
"Burroughs Creek",379,"Wyoming","SNOTEL","Fremont",8750,43.69733,-109.67021,"100800010102",NA,NA,NA
"Burts Miller Ranch",1135,"Utah","SNOTEL","Summit",8000,40.98492,-110.85075,"160101010105",NA,NA,NA
"Busby Farm",2224,"Missouri","SCAN","Cole",600,38.50472,-92.24667,"103001021206",NA,NA,NA
"Bushland #1",2006,"Texas","SCAN","Randall",3820,35.16667,-102.1,"111201020301","Bushland #1","91TX381001","92P0203"
"Butte",380,"Colorado","SNOTEL","Gunnison",10160,38.89433,-106.953,"140200010206",NA,NA,NA
"CMRB LTAR-MO",2195,"Missouri","SCAN","Boone",852,39.2285,-92.11942,"071100060102",NA,NA,NA
"CPER",2197,"Colorado","SCAN","Weld",5330,40.8228,-104.71068,"101900080301",NA,NA,NA
"Cache Junction",2136,"Utah","SCAN","Cache",4425,41.81568,-111.98043,"160102020706","Cache Junction","S07UT005-001","08N0136"
"Calamity",1109,"Washington","SNOTEL","Skamania",2500,45.90362,-122.21633,"170800020603",NA,NA,NA
"Calvert Creek",381,"Montana","SNOTEL","Deer Lodge",6430,45.8838,-113.32553,"100200040801",NA,NA,NA
"Camas Creek Divide",382,"Idaho","SNOTEL","Elmore",5710,43.26548,-115.3453,"170402200101",NA,NA,NA
"Camp Jackson",383,"Utah","SNOTEL","San Juan",8858,37.81333,-109.48723,"140802010301",NA,NA,NA
"Canyon",384,"Wyoming","SNOTEL","Park",7870,44.71961,-110.51084,"100700010705",NA,NA,NA
"Carrot Basin",385,"Montana","SNOTEL","Gallatin",9000,44.96192,-111.29403,"100200080105",NA,NA,NA
"Carson Pass",1067,"California","SNOTEL","Alpine",8360,38.6927,-120.0022,"180201290101",NA,NA,NA
"Carver Farm",2223,"Missouri","SCAN","Cole",560,38.52557,-92.13475,"103001021207",NA,NA,NA
"Cascade",386,"Colorado","SNOTEL","San Juan",8880,37.65083,-107.80602,"140801040201",NA,NA,NA
"Cascade #2",387,"Colorado","SNOTEL","San Juan",8920,37.658,-107.80268,"140801040201",NA,NA,NA
"Cascade Mountain",1039,"Utah","SNOTEL","Utah",7774,40.283,-111.60992,"160202030505",NA,NA,NA
"Cascade Summit",388,"Oregon","SNOTEL","Deschutes",5100,43.59042,-122.0601,"170900010301",NA,NA,NA
"Casper Mtn.",389,"Wyoming","SNOTEL","Natrona",7900,42.73389,-106.31861,"101800070804",NA,NA,NA
"Castle Creek",1130,"Wyoming","SNOTEL","Fremont",8400,43.6748,-109.3774,"100800010401",NA,NA,NA
"Castle Valley",390,"Utah","SNOTEL","Iron",9607,37.66098,-112.74093,"160300010201",NA,NA,NA
"Cave Mountain",1152,"Nevada","SNOTEL","White Pine",10578,39.16337,-114.6133,"160600080402","Cave Mountain","S11NV033002","12N7850"
"Cave Valley",2161,"Utah","SCAN","Washington",6273,37.35524,-113.12341,"150100080503","Cave Valley","2014UT0531053","10N0509"
"Cayuse Pass",1085,"Washington","SNOTEL","Pierce",5240,46.86954,-121.5343,"171100140301",NA,NA,NA
"Cedar Pass",391,"California","SNOTEL","Modoc",7030,41.58233,-120.3025,"180200020603",NA,NA,NA
"Centralia Lake",2094,"Kansas","SCAN","Nemaha",1302,39.70045,-96.1629,"102702050303","Centralia Lake","04KS131100","04N0874"
"Chalender",1139,"Arizona","SNOTEL","Coconino",7100,35.26247,-112.06231,"150602020305",NA,NA,NA
"Chalk Creek #1",392,"Utah","SNOTEL","Summit",9171,40.85464,-111.04765,"160201010301",NA,NA,NA
"Chalk Creek #2",393,"Utah","SNOTEL","Summit",8208,40.88529,-111.06954,"160201010301",NA,NA,NA
"Chamita",394,"New Mexico","SNOTEL","Rio Arriba",8400,36.95636,-106.65682,"130201020204",NA,NA,NA
"Chapman Tunnel",1101,"Colorado","SNOTEL","Pitkin",10110,39.26217,-106.62931,"140100040504",NA,NA,NA
"Charkiln",2145,"Nevada","SCAN","Clark",6683,36.36651,-115.82047,"160600150101","Charkiln","04NV003008","05N0126"
"Checkers Creek",2213,"Alaska","SCAN","Nome",326,65.403,-164.711,"190501050503","Checksers Creek","S2014AK180002","15N0704"
"Chemult Alternate",395,"Oregon","SNOTEL","Klamath",4850,43.22625,-121.80662,"180102010201",NA,NA,NA
"Chena Lakes",1260,"Alaska","SNOTEL","Fairbanks North Star",500,64.75793,-147.21823,"190803060901",NA,NA,NA
"Chepeta",396,"Utah","SNOTEL","Duchesne",10499,40.77458,-110.0105,"140600031202",NA,NA,NA
"Chicken Ridge",2150,"Utah","SCAN","Morgan",7649,41.33136,-111.3036,"160201010603","Chicken Ridge","S2009UT029001","09N1052"
"Chicken Ridge",2150,"Utah","SCAN","Morgan",7649,41.33136,-111.3036,"160201010603","Chicken Ridge","S2009UT029002","09N1053"
"Chisana",1093,"Alaska","SNOTEL","Valdez-Cordova",3320,62.069,-142.049,"190803010305",NA,NA,NA
"Chocolate Gulch",895,"Idaho","SNOTEL","Blaine",6310,43.7685,-114.41812,"170402190301",NA,NA,NA
"Cinnabar Park",1046,"Wyoming","SNOTEL","Albany",9574,41.23837,-106.23095,"101800100503",NA,NA,NA
"Cinnamon Bay",2124,"Virgin Islands","SCAN","St. John",310,18.35,-64.75,"210200010201",NA,NA,NA
"Circleville",2125,"Utah","SCAN","Piute",6120,38.15133,-112.25122,"160300010604","Circleville","S07UT031001","07N0489"
"Clackamas Lake",398,"Oregon","SNOTEL","Clackamas",3400,45.09658,-121.75443,"170900110301",NA,NA,NA
"Clayton Springs",983,"Utah","SNOTEL","Garfield",10049,37.9725,-111.83355,"160300020501",NA,NA,NA
"Clear Creek #1",399,"Utah","SNOTEL","Utah",8975,39.86671,-111.28363,"160202020102",NA,NA,NA
"Clear Creek #2",400,"Utah","SNOTEL","Utah",7837,39.89275,-111.25154,"160202020102",NA,NA,NA
"Clear Lake",401,"Oregon","SNOTEL","Wasco",3810,45.18832,-121.6916,"170703060901",NA,NA,NA
"Cloud Peak Reservoir",402,"Wyoming","SNOTEL","Johnson",9860,44.40343,-107.06057,"100902060301",NA,NA,NA
"Clover Meadow",403,"Montana","SNOTEL","Madison",8600,45.01788,-111.8456,"100200070803",NA,NA,NA
"Cochetopa Pass",1059,"Colorado","SNOTEL","Saguache",10020,38.16283,-106.59883,"130100040203",NA,NA,NA
"Cochora Ranch",2189,"California","SCAN","San Luis Obispo",2697,35.11807,-119.59608,"180600030102","Cochora Ranch","S2012CA079003","13N97488"
"Cold Springs",405,"Wyoming","SNOTEL","Fremont",9630,43.27676,-109.44585,"100800010702",NA,NA,NA
"Cold Springs Camp",406,"Oregon","SNOTEL","Klamath",5940,42.53305,-122.17683,"180102030202",NA,NA,NA
"Coldfoot",958,"Alaska","SNOTEL","Yukon-Koyukuk",1040,67.25333,-150.183,"190901010604",NA,NA,NA
"Cole Canyon",982,"Wyoming","SNOTEL","Crook",5910,44.48632,-104.41057,"101202030302",NA,NA,NA
"Cole Creek",407,"Montana","SNOTEL","Carbon",7850,45.19405,-109.34548,"100700060801",NA,NA,NA
"Columbia Basin",1204,"Nevada","SNOTEL","Elko",6483,41.67167,-116.07033,"170501050503","Columbia Basin","S2014NV007031","15N0478"
"Columbine",408,"Colorado","SNOTEL","Jackson",9160,40.3948,-106.60408,"101800010102",NA,NA,NA
"Columbine Pass",409,"Colorado","SNOTEL","Montrose",9400,38.41795,-108.38249,"140200050202",NA,NA,NA
"Columbus Basin",904,"Colorado","SNOTEL","La Plata",10785,37.44147,-108.02445,"140801050101",NA,NA,NA
"Combate",2066,"Puerto Rico","SCAN","Cabo Rojo",33,17.98333,-67.16667,"210100040108","Combate","D99PR023004","81P0317"
"Combination",410,"Montana","SNOTEL","Granite",5600,46.46523,-113.39358,"170102020401",NA,NA,NA
"Conrad Ag Rc",2117,"Montana","SCAN","Pondera",3706,48.30453,-111.92363,"100302030705","Conrad Ag Rc","S06MT073001","07N0156"
"Cook Farm Field D",2198,"Washington","SCAN","Whitman",2727,46.78373,-117.08008,"170601080203","Cook Farm Field D","S2013WA075001","14N0001"
"Cool Creek",411,"Idaho","SNOTEL","Clearwater",6280,46.76361,-115.29528,"170603070702",NA,NA,NA
"Cooper Lake",959,"Alaska","SNOTEL","Kenai Peninsula",1200,60.39027,-149.6936,"190203021205",NA,NA,NA
"Copeland Lake",412,"Colorado","SNOTEL","Boulder",8600,40.20778,-105.56861,"101900050202",NA,NA,NA
"Copper Bottom",413,"Montana","SNOTEL","Lewis And Clark",5200,47.05678,-112.595,"170102030103",NA,NA,NA
"Copper Camp",414,"Montana","SNOTEL","Lewis And Clark",6950,47.08158,-112.72955,"170102030103",NA,NA,NA
"Copper Mountain",415,"Colorado","SNOTEL","Summit",10550,39.48954,-106.17095,"140100020302",NA,NA,NA
"Corduroy Flat",1209,"Nevada","SNOTEL","White Pine",8640,38.99651,-115.42478,"160600121206","Corduroy Flat","S2014NV033002","15N0485"
"Coronado Trail",416,"Arizona","SNOTEL","Apache",8400,33.80392,-109.15282,"150400040501",NA,NA,NA
"Corozal",2188,"Puerto Rico","SCAN","Corozal",852,18.31865,-66.36281,"210100020104","Corozal","S2004PR047001","04N0611"
"Corral",1236,"Utah","SNOTEL","Carbon",8207,39.65795,-110.37906,"140600070903","Corral","S2013UT007001","14N0331"
"Corral Canyon",417,"Nevada","SNOTEL","Elko",8445,40.27551,-115.54017,"160401030401",NA,NA,NA
"Corral Pass",418,"Washington","SNOTEL","Pierce",5800,47.01872,-121.46464,"171100140307",NA,NA,NA
"Cottonwood Creek",419,"Wyoming","SNOTEL","Lincoln",7670,42.6459,-110.81482,"170401050102",NA,NA,NA
"Cougar Mountain",420,"Washington","SNOTEL","King",3200,47.27666,-121.67138,"171100130202",NA,NA,NA
"County Line",422,"Oregon","SNOTEL","Umatilla",4830,45.19107,-118.55015,"170601040202",NA,NA,NA
"Cozy Cove",423,"Idaho","SNOTEL","Valley",5400,44.28846,-115.65508,"170501200403",NA,NA,NA
"Crab Creek",424,"Idaho","SNOTEL","Clark",6900,44.437,-111.99384,"170402140108",NA,NA,NA
"Crater Meadows",425,"Idaho","SNOTEL","Clearwater",5960,46.56394,-115.28903,"170603070502",NA,NA,NA
"Crazyman Flat",1010,"Oregon","SNOTEL","Klamath",6180,42.6381,-120.94917,"180102020101",NA,NA,NA
"Crescent Lake #1",2002,"Minnesota","SCAN","Sherburne",980,45.41667,-93.95,"070102030503","Crescent Lake #1","S1991MN141001","92P0195"
"Crosho",426,"Colorado","SNOTEL","Rio Blanco",9100,40.16745,-107.0575,"140500010106",NA,NA,NA
"Crossroads",2107,"New Mexico","SCAN","Lea",4055,33.53513,-103.242,"120800010103","Crossroads","S2004NM025001","04N0399"
"Crow Creek",1045,"Wyoming","SNOTEL","Albany",8330,41.2287,-105.38278,"101900090104",NA,NA,NA
"Crowder Flat",977,"California","SNOTEL","Modoc",5170,41.89318,-120.75202,"180102040103",NA,NA,NA
"Crystal Lake",427,"Montana","SNOTEL","Fergus",6050,46.78942,-109.51205,"100401030204",NA,NA,NA
"Css Lab",428,"California","SNOTEL","Nevada",6894,39.32565,-120.36807,"180201250602",NA,NA,NA
"Culebra #2",430,"Colorado","SNOTEL","Costilla",10500,37.20945,-105.19959,"130100020902",NA,NA,NA
