Station ID,Site Name,State,Pedon ID
2138,Alkali Mesa,UT,S07UT037004
2207,Blue Creek,UT,S07UT003-001
2151,Buffalo Jump,UT,S2009UT033001
2136,Cache Junction ,UT,S07UT005-001
2161,Cave Valley,UT,2014UT0531053
2150,Chicken Ridge,UT,S2009UT029001
2125,Circleville,UT,S07UT031001
2167,Dugway,UT,S2009UT045002
2130,Eastland,UT,S07UT037001
2128,Enterprise,UT,S07UT021001
2126,Ephraim,UT,S07UT039001
2165,Goshute,UT,S2009UT003001
2131,Green River,UT,S07UT015001
2160,Grouse Creek,UT,S2009UT003001
2164,Hals Canyon,UT,S2009UT027002
2166,Harms Way,UT,S2009UT037001
2127,Holden,UT,S07UT027001
2155,Little Red Fox,UT,S2009UT013004
2156,Manderfield,UT,S2009UT001001
2140,Mccracken Mesa,UT,S07UT037005
2129,Milford,UT,S07UT001001
2133,Morgan,UT,S2007UT029001
2134,Mountian Home,UT,S07UT013001
2137,Nephi,UT,S07UT023001
2157,Panguitch,UT,S2009UT017001
2153,Park Valley,UT,S2009UT003002
2132,Price,UT,S07UT007001
2159,Sand Hollow,UT,S2009UT053001
2154,Split Mountian,UT,1998MO039173
2163,Tule Valley,UT,S2009UT027001
2162,Vermillion,UT,S2009UT025001
2139,West Summit,UT,S07UT037003
2123,Upper Bethlehem,VI,S07VI010001
2042,Lye Brook,VT,S2000VT003002
2041,Mount Mansfield,VT,S2000VT007001
2198,Cook Farm Field D,WA,S2013WA075001
2021,Lind #1,WA,S1992WA001001
2196,UW Platteville,WI,S2004WI065002
2003,Webeno #1,WI,S1990WI041006
2018,Torrington #1,WY,92WY015000
